Id,Label,timeset,interval,latitude,longitude,name
145,I,,0,32.2953,-90.204502,
146,I,,0,32.296043,-90.205538,
147,I,,0,32.297059,-90.205538,
148,I,,0,32.295304,-90.20476,
149,I,,0,32.294665,-90.204824,
150,I,,0,32.294669,-90.205141,
151,I,,0,32.294411,-90.204819,
152,I,,0,32.294139,-90.204808,
153,I,,0,32.294139,-90.203923,
154,I,,0,32.295322,-90.204116,
155,I,,0,32.295309,-90.203794,
156,I,,0,32.295381,-90.203456,
157,I,,0,32.294647,-90.201707,
158,I,,0,32.295477,-90.203306,
159,I,,0,32.295046,-90.201568,
160,I,,0,32.296161,-90.201568,
161,I,,0,32.296683,-90.212238,
162,I,,0,32.297145,-90.211567,
163,I,,0,32.297159,-90.213681,
164,I,,0,32.295622,-90.213595,
165,I,,0,32.297544,-90.210671,
166,I,,0,32.297544,-90.209888,
167,I,,0,32.295839,-90.208799,
168,I,,0,32.296325,-90.207228,
169,I,,0,32.297998,-90.207458,
170,I,,0,32.296415,-90.205312,
171,I,,0,32.296955,-90.204341,
172,I,,0,32.29525,-90.204095,
173,I,,0,32.295821,-90.201568,
174,I,,0,32.295604,-90.201568,
175,I,,0,32.298796,-90.205967,
176,I,,0,32.298569,-90.205962,
177,I,,0,32.297572,-90.205682,
178,I,,0,32.297603,-90.2055,
179,I,,0,32.297372,-90.205538,
180,I,,0,32.297544,-90.210398,
